,Head/Neck,Trunk,Shoulder/Arm,Hand,Pelvis,Leg,Foot
Neandertal total,8,4,7,1,1,3,3
Neandertals w/o DJD,7,4,7,1,0,3,1
Neandertals w/o Shanidar 1,6,4,5,1,1,3,1
Neandertals w/o Shanidar 1 & DJD,5,4,5,1,0,3,0
Bt-5,4,114,50,14,7,20,14
Libben,6,20,28,0,0,37,3
Nubia,17,11,85,3,6,36,2
London,108,121,547,421,3,409,121
New York,1640,1469,3025,2624,65,2466,670
New Mexico,13,99,183,187,17,88,205
Rodeo,71,18,47,11,6,11,17
